timestamp,date_GMT,status,attendance,home_team_name,away_team_name,referee,Game Week,Pre-Match PPG (Home),Pre-Match PPG (Away),home_ppg,away_ppg,home_team_goal_count,away_team_goal_count,total_goal_count,total_goals_at_half_time,home_team_goal_count_half_time,away_team_goal_count_half_time,home_team_goal_timings,away_team_goal_timings,home_team_corner_count,away_team_corner_count,home_team_yellow_cards,home_team_red_cards,away_team_yellow_cards,away_team_red_cards,home_team_first_half_cards,home_team_second_half_cards,away_team_first_half_cards,away_team_second_half_cards,home_team_shots,away_team_shots,home_team_shots_on_target,away_team_shots_on_target,home_team_shots_off_target,away_team_shots_off_target,home_team_fouls,away_team_fouls,home_team_possession,away_team_possession,Home Team Pre-Match xG,Away Team Pre-Match xG,team_a_xg,team_b_xg,average_goals_per_match_pre_match,btts_percentage_pre_match,over_15_percentage_pre_match,over_25_percentage_pre_match,over_35_percentage_pre_match,over_45_percentage_pre_match,over_15_HT_FHG_percentage_pre_match,over_05_HT_FHG_percentage_pre_match,over_15_2HG_percentage_pre_match,over_05_2HG_percentage_pre_match,average_corners_per_match_pre_match,average_cards_per_match_pre_match,odds_ft_home_team_win,odds_ft_draw,odds_ft_away_team_win,odds_ft_over15,odds_ft_over25,odds_ft_over35,odds_ft_over45,odds_btts_yes,odds_btts_no,stadium_name
1627059600,Jul 23 2021 - 5:00pm,complete,N/A,Rostov,Dinamo Moskva,Vladimir Moskalev,1,0.00,0.00,1.33,1.93,0,2,2,2,0,2,"","20,33",3,7,2,0,3,0,2,0,1,2,11,17,4,9,7,8,8,19,56,44,0.00,0.00,1.37,1.92,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,2.85,3.05,2.60,1.53,2.45,4.25,8.50,2.15,1.67,Rostov Arena (Rostov-na-Donu)
1627137000,Jul 24 2021 - 2:30pm,complete,N/A,Khimki,Zenit,Evgeny Kukulyak,1,0.00,0.00,1.33,1.67,1,3,4,2,1,1,"28","33,72,76",6,8,0,0,1,0,0,0,1,0,17,14,6,7,11,7,7,6,39,61,0.00,0.00,1.77,1.86,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,7.50,4.50,1.36,1.26,1.77,2.80,5.00,2.15,1.65,Arena Khimki (Khimki)
1627146000,Jul 24 2021 - 5:00pm,complete,N/A,Lokomotiv Moskva,Arsenal Tula,Igor Panin,1,0.00,0.00,1.93,0.47,3,1,4,1,0,1,"80,86,89","22",13,6,1,0,2,1,1,0,1,2,16,4,6,2,10,2,16,9,77,23,0.00,0.00,2.03,0.66,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,1.65,3.75,5.75,1.43,2.20,3.90,7.75,2.20,1.62,RZD Arena (Moskva)
1627146000,Jul 24 2021 - 5:00pm,complete,N/A,Rubin Kazan,Spartak Moskva,Vladislav Bezborodov,1,0.00,0.00,1.13,1.00,1,0,1,0,0,0,"49","",3,10,6,0,4,0,3,3,0,4,10,15,7,7,3,8,13,16,43,57,0.00,0.00,1.37,1.86,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,3.25,3.50,2.15,1.30,1.83,2.90,5.25,1.71,2.05,Kazan' Arena (Kazan')
1627223400,Jul 25 2021 - 2:30pm,complete,500,Ural,Krasnodar,Vasiliy Kazartsev,1,0.00,0.00,1.00,1.53,0,3,3,0,0,0,"","62,85,90'5",4,6,2,0,2,0,0,2,0,2,9,17,4,8,5,9,13,11,53,47,0.00,0.00,1.16,2.02,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,4.60,3.50,1.61,1.33,1.87,3.30,5.75,1.80,1.95,Ekaterinburg Arena (Ekaterinburg)
1627228800,Jul 25 2021 - 4:00pm,complete,500,Krylya Sovetov,Akhmat Grozny,Kirill Levnikov,1,0.00,0.00,1.60,1.00,1,2,3,2,0,2,"49","6,20",6,4,2,0,3,0,0,2,2,1,16,14,3,7,13,7,5,13,67,33,0.00,0.00,1.78,1.65,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,2.20,3.20,3.45,1.48,2.30,4.05,8.25,2.10,1.71,Solidarnost Arena (Samara)
1627232400,Jul 25 2021 - 5:00pm,complete,1000,CSKA Moskva,Ufa,Sergey Ivanov,1,0.00,0.00,2.00,0.87,1,0,1,0,0,0,"61","",13,2,0,0,0,0,0,0,0,0,23,15,7,4,16,11,8,7,49,51,0.00,0.00,2.33,1.61,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,1.61,3.75,6.00,1.38,2.10,3.50,6.75,2.10,1.71,VEB Arena (Moskva)
1627315200,Jul 26 2021 - 4:00pm,complete,N/A,Olimpiyets,FK Sochi,Pavel Shadykhanov,1,0.00,0.00,1.00,1.93,1,0,1,0,0,0,"68","",2,8,2,0,1,0,1,1,0,1,7,21,3,5,4,16,11,12,43,57,0.00,0.00,0.80,2.21,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,4.15,2.90,2.10,1.56,2.50,4.55,9.50,2.20,1.62,Stadion Nizhny Novgorod (Nizhniy Novgorod)
1627660800,Jul 30 2021 - 4:00pm,complete,500,Krylya Sovetov,Spartak Moskva,Pavel Kukuyan,2,0.00,0.00,1.60,1.00,0,1,1,0,0,0,"","68",7,11,3,0,2,0,0,3,0,2,9,22,0,8,9,14,5,10,45,55,1.78,1.86,0.91,2.28,2.00,50,50,50,0,0,50,50,0,100,16.00,6.00,4.45,3.50,1.83,1.35,1.95,3.25,6.00,1.87,1.87,Solidarnost Arena (Samara)
1627660800,Jul 30 2021 - 4:00pm,complete,N/A,Arsenal Tula,Rubin Kazan,Sergey Ivanov,2,0.00,0.00,1.07,0.80,0,3,3,3,0,3,"","12,37,40",9,2,2,0,2,0,1,1,1,1,17,21,6,6,11,15,11,5,47,53,0.00,0.00,1.94,1.99,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,3.25,3.20,2.25,1.45,2.25,3.80,7.00,2.00,1.77,Stadion Arsenal (Tula)
1627741800,Jul 31 2021 - 2:30pm,complete,N/A,Ufa,Dinamo Moskva,Aleksey Sukhoy,2,0.00,3.00,1.13,1.93,2,3,5,2,0,2,"81,86","33,41,89",4,4,4,1,3,0,2,3,1,2,10,20,4,8,6,12,10,8,55,45,0.00,1.92,1.18,2.11,1.00,0,50,0,0,0,50,50,0,0,7.00,3.00,3.58,2.96,1.95,1.45,1.62,3.90,7.75,2.05,1.71,BetBoom Аrena (Ufa)
1627750800,Jul 31 2021 - 5:00pm,complete,3000,CSKA Moskva,Lokomotiv Moskva,Aleksey Matyunin,2,3.00,0.00,2.00,1.27,1,2,3,2,1,1,"18","22,59",6,10,3,0,3,0,1,2,3,0,18,16,5,6,13,10,8,12,42,58,2.33,0.00,1.89,1.84,0.50,0,0,0,0,0,0,0,0,50,13.00,0.00,2.10,3.35,3.50,1.39,2.05,3.50,6.75,1.91,1.83,VEB Arena (Moskva)
1627828200,Aug 01 2021 - 2:30pm,complete,500,Ural,Olimpiyets,Aleksey Amelin,2,0.00,0.00,1.00,1.20,1,1,2,1,1,0,"32","55",5,5,0,0,0,0,0,0,0,0,10,10,4,2,6,8,18,14,51,49,1.16,0.00,1.24,1.04,1.50,0,50,50,0,0,0,0,50,50,4.00,2.00,1.95,3.25,4.00,1.33,2.10,4.00,7.50,1.90,1.83,Ekaterinburg Arena (Ekaterinburg)
1627837200,Aug 01 2021 - 5:00pm,complete,N/A,Rostov,Zenit,Vitaly Meshkov,2,0.00,3.00,1.33,1.67,2,4,6,3,1,2,"45'2,85","29,35,75,90'5",2,4,3,0,3,0,0,3,1,2,14,21,3,9,11,12,6,8,45,55,1.37,1.86,1.42,2.40,3.00,50,100,50,50,0,100,100,50,50,11.00,3.00,6.75,4.25,1.48,1.28,1.77,2.85,5.25,1.95,1.80,Rostov Arena (Rostov-na-Donu)
