timestamp,date_GMT,status,attendance,home_team_name,away_team_name,referee,Game Week,Pre-Match PPG (Home),Pre-Match PPG (Away),home_ppg,away_ppg,home_team_goal_count,away_team_goal_count,total_goal_count,total_goals_at_half_time,home_team_goal_count_half_time,away_team_goal_count_half_time,home_team_goal_timings,away_team_goal_timings,home_team_corner_count,away_team_corner_count,home_team_yellow_cards,home_team_red_cards,away_team_yellow_cards,away_team_red_cards,home_team_first_half_cards,home_team_second_half_cards,away_team_first_half_cards,away_team_second_half_cards,home_team_shots,away_team_shots,home_team_shots_on_target,away_team_shots_on_target,home_team_shots_off_target,away_team_shots_off_target,home_team_fouls,away_team_fouls,home_team_possession,away_team_possession,Home Team Pre-Match xG,Away Team Pre-Match xG,team_a_xg,team_b_xg,average_goals_per_match_pre_match,btts_percentage_pre_match,over_15_percentage_pre_match,over_25_percentage_pre_match,over_35_percentage_pre_match,over_45_percentage_pre_match,over_15_HT_FHG_percentage_pre_match,over_05_HT_FHG_percentage_pre_match,over_15_2HG_percentage_pre_match,over_05_2HG_percentage_pre_match,average_corners_per_match_pre_match,average_cards_per_match_pre_match,odds_ft_home_team_win,odds_ft_draw,odds_ft_away_team_win,odds_ft_over15,odds_ft_over25,odds_ft_over35,odds_ft_over45,odds_btts_yes,odds_btts_no,stadium_name
1599929100,Sep 12 2020 - 4:45pm,complete,N/A,Heerenveen,Willem II,Richard Martens,1,0.00,0.00,1.35,0.65,2,0,2,1,1,0,"22,75","",3,10,2,0,3,0,1,1,3,0,14,12,8,7,6,5,9,8,38,62,0.00,0.00,1.70,1.80,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,2.05,3.55,3.45,1.21,1.67,2.70,4.90,1.59,2.25,Abe Lenstra Stadion (Heerenveen)
1599933600,Sep 12 2020 - 6:00pm,complete,N/A,PEC Zwolle,Feyenoord,Bas Nijhuis,1,0.00,0.00,1.41,1.53,0,2,2,1,0,1,"","5,68",3,3,3,0,1,0,1,2,0,1,18,15,6,7,12,8,4,4,54,46,0.00,0.00,1.87,1.69,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,4.25,4.20,1.69,1.16,1.56,2.40,4.15,1.57,2.25,MAC³PARK Stadion (Zwolle)
1599937200,Sep 12 2020 - 7:00pm,complete,N/A,Twente,Fortuna Sittard,Allard Lindhout,1,0.00,0.00,1.06,1.35,2,0,2,1,1,0,"10,51","",7,2,1,0,0,0,0,1,0,0,13,3,5,0,8,3,1,2,43,57,0.00,0.00,1.66,0.50,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,1.83,3.75,3.95,1.21,1.69,2.75,5.00,1.62,2.15,De Grolsch Veste (Enschede)
1599992100,Sep 13 2020 - 10:15am,complete,N/A,Emmen,VVV,Siemen Mulder,1,0.00,0.00,0.94,0.59,3,5,8,1,1,0,"4,49,76","50,65,72,90,90'4",7,3,2,0,3,0,0,2,2,1,15,16,4,10,11,6,3,6,73,27,0.00,0.00,1.68,1.95,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,1.95,3.55,3.80,1.24,1.77,2.95,5.55,1.67,2.10,De Oude Meerdijk (Emmen)
1600000200,Sep 13 2020 - 12:30pm,complete,N/A,Heracles,ADO Den Haag,Sander van der Eijk,1,0.00,0.00,1.65,0.76,2,0,2,0,0,0,"48,70","",7,2,1,0,2,1,0,1,2,1,20,7,6,2,14,5,5,15,62,38,0.00,0.00,2.23,0.78,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,1.71,3.90,4.45,1.20,1.67,2.70,4.85,1.65,2.15,Stadion Erve Asito (Almelo)
1600000200,Sep 13 2020 - 12:30pm,complete,N/A,Sparta Rotterdam,Ajax,Jochem Kamphuis,1,0.00,0.00,1.29,2.59,0,1,1,1,0,1,"","37",2,1,2,0,3,1,0,2,3,1,11,9,4,5,7,4,13,13,51,49,0.00,0.00,1.45,1.32,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,8.25,6.05,1.29,1.08,1.30,1.80,2.75,1.57,2.30,Sparta-Stadion Het Kasteel (Rotterdam)
1600008300,Sep 13 2020 - 2:45pm,complete,6049,Groningen,PSV,Serdar Gözübüyük,1,0.00,0.00,1.59,1.76,1,3,4,1,0,1,"53","34,57,87",3,1,4,0,2,0,3,1,0,2,11,11,3,7,8,4,12,10,41,59,0.00,0.00,1.16,1.49,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,3.10,3.35,2.25,1.30,1.95,3.40,6.60,1.77,1.95,Hitachi Capital Mobility Stadium (Groningen)
1600008300,Sep 13 2020 - 2:45pm,complete,1967,RKC Waalwijk,Vitesse,Edwin van de Graaf,1,0.00,0.00,1.12,1.41,0,1,1,1,0,1,"","45'2",0,6,1,0,1,0,0,1,0,1,7,15,3,7,4,8,11,17,44,56,0.00,0.00,0.88,1.80,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,4.70,4.15,1.65,1.14,1.49,2.25,3.80,1.54,2.35,Mandemakers Stadion (Waalwijk)
1600452000,Sep 18 2020 - 6:00pm,complete,1435,VVV,Utrecht,Rob Dieperink,2,0.00,0.00,0.76,1.56,1,1,2,1,1,0,"8","58",5,12,2,0,1,0,1,1,0,1,10,10,3,3,7,7,15,7,26,74,0.00,0.00,1.10,1.46,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,4.25,3.80,1.77,1.20,1.67,2.70,4.85,1.62,2.20,Covebo Stadion - De Koel - (Venlo)
1600525800,Sep 19 2020 - 2:30pm,complete,N/A,AZ,PEC Zwolle,Serdar Gözübüyük,2,0.00,0.00,2.24,0.82,1,1,2,1,0,1,"68","38",6,2,2,1,5,1,1,2,2,4,9,14,4,5,5,9,10,11,41,59,0.00,0.00,1.22,1.58,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,1.29,5.85,8.75,1.13,1.47,2.20,3.65,1.83,1.91,AFAS Stadion (Alkmaar)
1600533900,Sep 19 2020 - 4:45pm,complete,N/A,Vitesse,Sparta Rotterdam,Björn Kuipers,2,0.00,0.00,2.18,1.39,2,0,2,1,1,0,"27,82","",6,7,2,0,3,1,1,1,3,1,24,3,8,2,16,1,-1,-1,70,30,0.00,0.00,2.61,0.48,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,1.65,4.10,4.75,1.18,1.59,2.45,4.35,1.61,2.20,GelreDome (Arnhem)
1600538400,Sep 19 2020 - 6:00pm,complete,N/A,PSV,Emmen,Martin van den Kerkhof,2,0.00,0.00,2.47,0.82,2,1,3,1,1,0,"21,90'4","83",7,5,0,0,3,0,0,0,1,2,23,9,7,4,16,5,0,1,56,44,0.00,0.00,2.53,1.00,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,1.17,7.25,13.25,1.10,1.37,1.95,3.15,1.95,1.77,Philips Stadion (Eindhoven)
1600542000,Sep 19 2020 - 7:00pm,complete,N/A,Fortuna Sittard,Heerenveen,Martin Perez,2,0.00,0.00,1.06,0.94,1,3,4,3,0,3,"73","15,29,34",14,2,4,0,0,0,0,4,0,0,24,10,7,3,17,7,0,1,66,34,0.00,0.00,2.57,1.06,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,3.35,3.70,2.05,1.18,1.59,2.50,4.40,1.53,2.35,Fortuna Sittard Stadion (Sittard)
1600596900,Sep 20 2020 - 10:15am,complete,N/A,ADO Den Haag,Groningen,Danny Makkelie,2,0.00,0.00,0.53,1.28,0,1,1,1,0,1,"","23",3,8,1,0,1,0,0,1,1,0,7,13,0,6,7,7,0,1,42,58,0.00,0.00,0.94,1.88,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,3.70,3.40,2.00,1.36,2.10,3.90,7.50,1.91,1.83,Cars Jeans Stadion (Den Haag)
1600605000,Sep 20 2020 - 12:30pm,complete,N/A,Feyenoord,Twente,Pol van Boekel,2,0.00,0.00,2.05,1.35,1,1,2,2,1,1,"29","2",8,4,2,0,2,0,1,1,2,0,14,10,5,4,9,6,-1,-1,57,43,0.00,0.00,1.95,1.37,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,1.38,4.95,7.00,1.13,1.44,2.15,3.55,1.62,2.20,Stadion Feijenoord (Rotterdam)
1600605000,Sep 20 2020 - 12:30pm,complete,N/A,Willem II,Heracles,Jeroen Manschot,2,0.00,0.00,1.18,0.94,4,0,4,0,0,0,"46,50,52,84","",8,5,1,0,0,0,1,0,0,0,18,7,5,2,13,5,-1,-1,57,43,0.00,0.00,2.20,1.02,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,2.20,3.50,3.10,1.24,1.77,2.95,5.55,1.65,2.15,Koning Willem II Stadion (Tilburg)
1600613100,Sep 20 2020 - 2:45pm,complete,N/A,Ajax,RKC Waalwijk,Bas Nijhuis,2,0.00,0.00,2.59,0.65,3,0,3,2,2,0,"10,34,73","",4,3,1,0,0,1,1,0,0,1,22,6,12,4,10,2,1,0,62,38,0.00,0.00,2.74,0.98,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,1.05,14.00,25.50,1.02,1.13,1.36,1.83,1.83,1.87,Johan Cruijff Arena (Amsterdam)
